label,ble_id,C0,C1,C2,C3
8-302,15070,-4.109133375341354,3.4463340040817827,-0.1721792197196732,-0.41618818107683486
8-302,15070,-4.099979259688179,3.4282405119529935,-0.17951410454438288,-0.41736903394372815
8-302,15070,-4.113364612884806,3.4614665124557393,-0.173061748682114,-0.4227996763793658
8-302,15070,-4.115979623535394,3.4610071039014207,-0.17469002004860834,-0.42450107535248716
8-302,15070,-4.113798305557656,3.456695637763575,-0.1764378367399153,-0.42478245868706654
8-302,15070,-4.083528695659516,3.45516533508723,-0.1837885449121346,-0.43136073353920645
8-302,15070,-4.054160716220025,3.4092715851543125,-0.20379636399328205,-0.43570646330273455
8-302,15070,-4.045748938398614,3.3926453547714748,-0.2105364384940558,-0.43679155686419024
8-302,15070,-4.0357988473743935,3.3921423205078858,-0.2129527304665053,-0.4389539380042642
8-302,15070,-4.024735964655856,3.35299370774414,-0.2295858784006557,-0.4426167552521174
8-302,15070,-4.08404745943443,3.4702253557352396,-0.1820615735453519,-0.4349657541830285
8-302,15070,-4.0741479054941285,3.535591779933826,-0.1518255312597836,-0.4252677623666399
8-302,15070,-4.0940812347877245,3.536599524244675,-0.1469848977983339,-0.4209357964360336
8-302,15070,-4.151834354900781,3.6507509795866415,-0.10070926612112639,-0.41348582092322905
8-302,15070,-4.1776442673606535,3.65205581893695,-0.09444155619419069,-0.4078767397807215
8-302,15070,-4.209551908973483,3.6574873254324203,-0.09922165793663738,-0.4160900432842687
8-302,15070,-4.268615000707226,3.774227994424925,-0.05189639008206392,-0.40847108544674304
8-302,15070,-4.300437494834446,3.7758368043202206,-0.04416857765142778,-0.40155533352414174
8-302,15070,-4.393199960095884,3.918158077542762,0.01826321580771429,-0.3877077313069579
8-302,15070,-4.410845267209433,3.9190501491879424,0.022548223233887173,-0.3838730046476466
8-302,15070,-4.49194217828323,3.960981243011235,0.05806047087204936,-0.36265859974051207
8-302,15070,-4.498005008463449,3.9599161169294166,0.05428536854879585,-0.36660324640591346
8-302,15070,-4.542122725536664,4.047116628354843,0.0896354106196451,-0.3609121961001831
8-302,15070,-4.564512139579548,4.0913702408392565,0.10757529465861528,-0.3580240302999802
8-302,15070,-4.615577947996925,4.192303945159412,0.14849260851101698,-0.35143669750295914
8-302,15070,-4.600391204093432,4.1949719725572905,0.15794883777829694,-0.3415557777152546
8-302,15070,-5.125214355287528,3.711246157242706,1.3443140201827612,0.6977441743170306
8-302,15070,-5.125552044527629,3.711263229373785,1.3443960250406117,0.6978175618711967
8-302,15070,-5.154970611000236,3.7694102553759925,1.367968132381182,0.7016124667943199
8-302,15070,-5.2883316198762085,3.9033317476211438,1.4445108452300028,0.7327587953634648
8-302,15070,-5.296532103704988,3.9037463291896786,1.44650226050424,0.7345409470571193
8-302,15070,-5.305636238459631,3.9021469026691733,1.440833449199644,0.7286175426842839
8-302,15070,-5.330883984282079,3.9520501273623947,1.4610636183069097,0.731874424524824
8-302,15070,-5.433175897708147,4.059516093013141,1.5082892680270057,0.7414258412530609
8-302,15070,-5.406835193167577,4.007452589740023,1.4871833478784244,0.7380279710872045
8-302,15070,-5.389411540350371,4.006571723992905,1.4829521672459574,0.7342414149490336
8-302,15070,-5.385434651453656,3.9987112368987954,1.4797656200006266,0.7337284084683503
8-302,15070,-5.389078283252377,3.9980711188110383,1.4774968639148451,0.7313577598442692
8-302,15070,-5.381513297597625,3.9929804943887763,1.4742946750519168,0.7299296333102959
8-302,15070,-5.359718966048461,3.9499030873210335,1.4568316105898458,0.72711823132818
8-302,15070,-5.362148053914274,3.949476341929195,1.4553191065326583,0.7255377989121262
8-302,15070,-5.390029036278978,3.9821740840873985,1.471161535133368,0.7301620923575357
8-302,15070,-5.3893708213693206,3.982140807542334,1.4710016934396106,0.7300190472835467
8-302,15070,-5.343309698313548,3.9306954390197304,1.445575133831203,0.72226141228098
8-302,15070,-5.351673869636328,3.931118295931456,1.4476062991717245,0.7240791369909049
