label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399275005,1717578414,15164,8-320,50.1187,1,0
8-303,399275006,1717578414,15164,8-303,7.07946,0,0
8-303,399275008,1717578414,15164,8-302,19.9526,0,0
8-303,399275016,1717578416,15162,8-302,10.0,0,0
8-303,399275017,1717578416,15162,8-303,5.01187,0,0
8-303,399275018,1717578416,15160,8-302,223.872,0,2917
8-303,399275019,1717578416,15160,8-303,50.1187,0,2917
8-303,399275021,1717578417,15155,8-303,15.8489,1,0
8-303,399275022,1717578417,15162,8-303,6.30957,1,0
8-303,399275023,1717578417,15160,8-303,44.6684,1,2917
8-303,399275026,1717578417,15162,8-322,39.8107,0,0
8-303,399275027,1717578417,15160,8-322,100.0,0,2917
8-303,399275031,1717578418,15155,8-302,35.4813,1,0
8-303,399275032,1717578418,15160,8-302,125.893,1,2917
8-303,399275034,1717578418,15160,8-302,158.489,0,2917
8-303,399275038,1717578420,15161,8-322,5.01187,1,2883
8-303,399275040,1717578420,15153,8-320,35.4813,1,0
8-303,399275043,1717578420,15153,8-302,7.94328,1,0
8-303,399275044,1717578421,15161,8-302,56.2341,1,2883
8-303,399275045,1717578421,15153,8-302,28.1838,0,0
8-303,399275046,1717578421,15153,8-303,17.7828,0,0
8-303,399275047,1717578421,15161,8-302,158.489,0,2883
8-303,399275048,1717578421,15164,8-302,14.1254,0,0
8-303,399275049,1717578421,15161,8-303,100.0,0,2883
8-303,399275050,1717578421,15164,8-303,112.202,0,0
8-303,399275053,1717578421,15153,8-303,7.94328,1,0
8-303,399275054,1717578421,15161,8-303,89.1251,1,2883
8-303,399275055,1717578421,15164,8-303,3.98107,1,0
8-303,399275056,1717578422,15153,8-322,7.94328,0,0
8-303,399275057,1717578422,15161,8-322,79.4328,0,2883
8-303,399275058,1717578422,15164,8-322,10.0,0,0
8-303,399275059,1717578422,15161,8-322,5.62341,1,2883
8-303,399275060,1717578422,15164,8-322,0.794328,1,0
8-303,399275062,1717578422,15164,8-320,50.1187,1,0
8-303,399275070,1717578424,15162,8-320,44.6684,1,0
8-303,399275072,1717578425,15162,8-302,10.0,0,0
8-303,399275075,1717578425,15155,8-302,25.1189,1,0
8-303,399275076,1717578425,15162,8-302,5.01187,1,0
8-303,399275077,1717578425,15155,8-303,17.7828,0,0
8-303,399275078,1717578425,15162,8-303,5.01187,0,0
8-303,399275082,1717578426,15155,8-303,6.30957,1,0
8-303,399275083,1717578426,15162,8-303,7.94328,1,0
8-303,399275084,1717578426,15155,8-322,4.46684,1,0
8-303,399275087,1717578427,15163,8-302,35.4813,1,0
8-303,399275089,1717578427,15070,8-303,89.1251,0,2830
8-303,399275090,1717578427,15163,8-303,17.7828,0,0
8-303,399275092,1717578428,15163,8-322,15.8489,0,0
8-303,399275094,1717578428,15070,8-303,125.893,1,2830
8-303,399275095,1717578428,15158,8-303,63.0957,1,2895
8-303,399275096,1717578428,15070,8-322,10.0,1,2830
8-303,399275100,1717578429,15153,8-320,39.8107,1,0
8-303,399275101,1717578429,15153,8-302,15.8489,0,0
8-303,399275102,1717578429,15164,8-302,25.1189,0,0
8-303,399275103,1717578429,15153,8-417,8.91251,0,0
8-303,399275106,1717578429,15070,8-303,79.4328,0,2830
8-303,399275107,1717578429,15158,8-303,56.2341,0,2895
8-303,399275109,1717578430,15164,8-322,10.0,0,0
8-303,399275110,1717578430,15164,8-303,4.46684,1,0
8-303,399275111,1717578430,15158,8-303,223.872,1,2895
8-303,399275112,1717578430,15164,8-322,0.707946,1,0
8-303,399275119,1717578432,15162,8-303,7.94328,1,0
8-303,399275122,1717578433,15155,8-302,44.6684,0,0
8-303,399275123,1717578433,15162,8-302,22.3872,0,0
8-303,399275124,1717578433,15155,8-302,44.6684,1,0
8-303,399275125,1717578434,15155,8-303,28.1838,0,0
8-303,399275127,1717578434,15155,8-322,6.30957,1,0
8-303,399275130,1717578434,15155,8-303,10.0,1,0
8-303,399275131,1717578434,15163,8-322,1.99526,1,0
8-303,399275132,1717578435,15163,8-303,7.94328,1,0
8-303,399275137,1717578436,15163,8-302,15.8489,1,0
8-303,399275140,1717578437,15153,8-303,8.91251,1,0
8-303,399275141,1717578437,15153,8-322,1.25892,1,0
8-303,399275142,1717578437,15164,8-322,0.794328,1,0
8-303,399275146,1717578437,15153,8-302,19.9526,0,0
8-303,399275147,1717578437,15164,8-302,12.5893,0,0
8-303,399275148,1717578438,15153,8-302,7.07946,1,0
8-303,399275150,1717578438,15164,8-303,7.07946,0,0
8-303,399275157,1717578441,15155,8-322,22.3872,0,0
8-303,399275158,1717578441,15162,8-322,50.1187,0,0
8-303,399275159,1717578441,15162,8-322,1.0,1,0
8-303,399275160,1717578441,15155,8-322,3.98107,1,0
8-303,399275161,1717578441,15155,8-303,12.5893,1,0
8-303,399275162,1717578441,15162,8-320,44.6684,1,0
8-303,399275164,1717578442,15155,8-302,100.0,0,0
8-303,399275165,1717578442,15162,8-302,25.1189,0,0
8-303,399275166,1717578442,15162,8-302,6.30957,1,0
8-303,399275168,1717578442,15159,8-303,199.526,0,2881
8-303,399275169,1717578442,15155,8-303,15.8489,0,0
8-303,399275170,1717578442,15162,8-303,5.62341,0,0
8-303,399275172,1717578443,15163,8-322,14.1254,0,0
8-303,399275174,1717578443,15159,8-322,17.7828,1,2881
8-303,399275175,1717578443,15163,8-322,2.23872,1,0
8-303,399275177,1717578443,15159,8-303,44.6684,1,2881
8-303,399275178,1717578443,15163,8-303,8.91251,1,0
8-303,399275182,1717578444,15159,8-302,89.1251,1,2881
8-303,399275183,1717578444,15153,8-302,7.94328,1,0
8-303,399275185,1717578444,15163,8-303,35.4813,0,0
8-303,399275187,1717578445,15153,8-322,7.94328,0,0
8-303,399275188,1717578445,15153,8-322,1.41254,1,0
8-303,399275190,1717578445,15164,8-322,6.30957,1,0
8-303,399275193,1717578445,15159,8-303,39.8107,1,2881
8-303,399275194,1717578445,15153,8-303,3.16228,1,0
8-303,399275196,1717578445,15164,8-303,7.07946,1,0
8-303,399275198,1717578446,15153,8-302,50.1187,0,0
8-303,399275199,1717578446,15164,8-302,50.1187,0,0
8-303,399275203,1717578448,15160,8-302,177.828,0,2917
8-303,399275204,1717578449,15155,8-303,14.1254,0,0
8-303,399275205,1717578449,15162,8-303,4.46684,0,0
8-303,399275206,1717578449,15160,8-303,39.8107,0,2917
8-303,399275208,1717578449,15160,8-322,17.7828,1,2917
8-303,399275210,1717578449,15155,8-322,5.62341,1,0
8-303,399275212,1717578449,15162,8-322,50.1187,0,0
8-303,399275213,1717578449,15160,8-322,70.7946,0,2917
8-303,399275216,1717578450,15155,8-303,10.0,1,0
8-303,399275217,1717578450,15160,8-303,100.0,1,2917
8-303,399275218,1717578450,15160,8-302,158.489,0,2917
8-303,399275219,1717578450,15160,8-302,141.254,1,2917
8-303,399275221,1717578451,15163,8-303,12.5893,0,0
8-303,399275222,1717578451,15163,8-322,1.99526,1,0
8-303,399275225,1717578451,15163,8-322,28.1838,0,0
8-303,399275227,1717578452,15161,8-303,79.4328,1,2888
