label,ble_id,C0,C1
8-302,15070,-4.284864516095801,1.1503536533551553
8-302,15070,-4.36056102489311,1.1400470264567821
8-302,15070,-4.486505391101942,1.286931524024852
8-302,15070,-4.565840244801611,1.3794569817018543
8-302,15070,-4.599612615284464,1.3863428490626557
8-302,15070,-4.6997340585887635,1.5031109772309064
8-302,15070,-4.737616190614575,1.5108347861535445
8-302,15070,-4.9215193047667904,1.6149353957492991
8-302,15070,-5.00456926393368,1.711793650647738
8-302,15070,-5.029199170945327,1.716815456057494
8-302,15070,-4.382943171635803,2.5884980933053665
8-302,15070,-4.37845021073687,2.587582021014171
8-302,15070,-4.365794342967738,2.5800685031818267
8-302,15070,-5.249401972524664,1.8940596876476548
8-302,15070,-5.2847730671048,1.9353117548280259
8-302,15070,-5.283149529587593,1.9334182799575235
8-302,15070,-5.283183673019324,1.904088086813545
8-302,15070,-5.2657047877893275,1.9176582156268287
8-302,15070,-3.7844842893820645,2.533250102658445
8-302,15070,-3.7569529886399264,2.5276367304707588
8-302,15070,-3.785884997851984,2.5613791181985377
8-302,15070,-3.752410158444226,2.554553914613762
8-302,15070,-3.76768451266876,2.5576682111735916
8-302,15070,-3.773510807745425,2.553144834902497
8-302,15070,-3.804743841702909,2.5895708270962605
8-302,15070,-3.7886596230780656,2.5652425470975837
8-302,15070,-3.7408111380863205,2.509438537049591
8-302,15070,-3.7061871258328636,2.502379027975535
8-302,15070,-3.70014553670104,2.495332934443498
8-302,15070,-3.7018934252240396,2.4939759215621695
8-302,15070,-3.6632759411905034,2.4523332181789095
8-302,15070,-3.628393123289345,2.4116506109658618
8-302,15070,-3.6301410118123445,2.4102935980845333
8-302,15070,-5.162726105013914,1.8226725938952018
8-302,15070,-5.166707652107834,1.8234843937418677
8-302,15070,-5.024828706355928,1.676457970803936
8-302,15070,-5.04399174352834,1.6803651330881566
8-302,15070,-5.013308509384411,1.6038645823525286
8-302,15070,-4.982666936789302,1.5976170551105953
8-302,15070,-4.97391802398365,1.604409471914451
8-302,15070,-4.896461392275933,1.6096698658124775
8-302,15070,-4.863011313111334,1.5706582115431842
8-302,15070,-4.845571019645203,1.5841983787656742
8-302,15070,-4.763546029777033,1.521946141878431
8-302,15070,-4.708405002471357,1.4576370954717688
8-302,15070,-4.708824783127468,1.4581266709297083
8-302,15070,-4.622687459126408,1.4097040486128232
8-302,15070,-4.570888897679194,1.3991428111720894
8-302,15070,-3.1819006797723435,1.9764031711558894
8-302,15070,-3.121015773767801,1.981085392216952
8-302,15070,-3.1410334938130426,1.9851668162664478
8-302,15070,-3.1497438148548302,1.9784043610533852
8-302,15070,-3.0986991398485273,1.9188727466785573
8-302,15070,-3.126020748834046,1.8995849438195578
8-302,15070,-3.091294850953006,1.9265451819126562
8-302,15070,-3.0660630890195293,1.8971182628219638
8-302,15070,-3.0321863973957868,1.8580677606371812
8-302,15070,-3.0283999583674586,1.8536517695850219
8-302,15070,-3.040481506482964,1.8561150831353317
8-302,15070,-4.407039652044211,1.2179060316243642
8-302,15070,-4.345706395526421,1.146375205442816
8-302,15070,-4.364466952471257,1.1502003058100674
8-302,15070,-4.310272793296351,1.1049914084001706
8-302,15070,-4.305606457748017,1.1040399866554895
8-302,15070,-4.3171817570416975,1.0950532406244564
8-302,15070,-4.3459607959482245,1.0569154953127518
8-302,15070,-4.3917959363505155,1.0662608475270456
8-302,15070,-4.413940997150947,1.092087855333749
8-302,15070,-2.800710960387576,1.7625426077592694
8-302,15070,-2.7886027862012925,1.7112968190854079
8-302,15070,-2.8603802969694634,1.7950084127297625
8-302,15070,-2.87785918219946,1.7814382839164788
8-302,15070,-2.9772282567644424,1.871997349096742
8-302,15070,-2.9703019181968706,1.8639194033250575
8-302,15070,-2.951947170931475,1.860177043718564
8-302,15070,-3.024325148086961,1.90091096145423
8-302,15070,-2.996561725901938,1.8952502618967308
8-302,15070,-3.0038000801830687,1.9036921006530645
8-302,15070,-3.0039683372969344,1.90372640668939
8-302,15070,-4.600435643710018,1.2503530924341462
8-302,15070,-4.591699357825237,1.2571357060417165
8-302,15070,-4.570398706981915,1.2322935039553893
8-302,15070,-4.569368076000102,1.2320833680325256
8-302,15070,-4.506245187629479,1.190898304507424
8-302,15070,-4.521666167166706,1.194042496583633
