label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2,8-320-0,8-320-1
8-302,29.115299999999998,7.94328,13.731500000000002,13.184135,10.6101,100,100.0
8-302,29.115299999999998,5.38083,13.731500000000002,13.184135,10.6101,100,100.0
8-302,23.930933333333332,2.81838,14.98715,13.184135,10.033177499999999,100,100.0
8-302,23.930933333333332,2.81838,14.98715,13.184135,10.033177499999999,100,100.0
8-302,27.005000000000003,2.81838,14.98715,17.16239,10.033177499999999,100,100.0
8-302,22.7118,2.81838,14.98715,17.16239,10.033177499999999,100,100.0
8-302,20.181175,2.81838,15.8489,17.16239,10.044236666666665,100,100.0
8-302,20.181175,2.81838,15.8489,17.16239,10.033177499999999,100,100.0
8-302,20.181175,2.81838,14.219100000000001,17.16239,10.033177499999999,100,100.0
8-302,14.775475,2.81838,14.219100000000001,14.549985,9.637503333333333,100,100.0
8-302,14.775475,2.81838,14.219100000000001,15.62759,9.637503333333333,100,100.0
8-302,12.238233333333334,2.81838,14.219100000000001,12.71596,9.637503333333333,100,100.0
8-302,12.238233333333334,2.81838,14.219100000000001,12.71596,10.3754525,100,100.0
8-302,15.458400000000001,2.81838,14.219100000000001,12.71596,10.3754525,100,100.0
8-302,15.458400000000001,2.81838,12.5893,15.627590000000003,10.3754525,100,100.0
8-302,15.458400000000001,2.81838,14.219100000000001,15.627590000000003,10.3754525,100,100.0
8-302,19.462979999999998,2.81838,14.219100000000001,15.627590000000003,10.3754525,100,100.0
8-302,18.089183333333335,100.0,14.219100000000001,15.627590000000003,10.863100000000001,100,100.0
8-302,18.089183333333335,100.0,14.219100000000001,17.3174925,10.863100000000001,100,100.0
8-302,18.089183333333335,100.0,13.675833333333335,17.3174925,10.863100000000001,100,100.0
8-302,18.089183333333335,100.0,13.675833333333335,17.3174925,10.647325,100,100.0
8-302,18.881940000000004,7.94328,13.675833333333335,14.717023333333335,10.647325,100,100.0
8-302,17.220368333333337,7.94328,13.675833333333335,14.717023333333335,10.647325,100,100.0
8-302,17.220368333333337,7.94328,24.3154,14.717023333333335,10.647325,100,100.0
8-302,18.146582000000002,7.94328,25.130300000000002,14.717023333333335,10.863100000000001,100,100.0
8-302,18.146582000000002,7.94328,25.130300000000002,14.717023333333335,10.647325,100,100.0
8-302,18.146582000000002,5.38083,25.130300000000002,14.717023333333335,10.647325,100,100.0
8-302,17.763635,5.38083,25.130300000000002,14.717023333333335,10.647325,100,100.0
8-302,19.316362,5.38083,25.741000000000003,13.184135,10.647325,100,100.0
8-302,19.316362,5.38083,25.741000000000003,15.44029,10.647325,100,100.0
8-302,19.316362,5.38083,25.741000000000003,15.44029,10.7619,100,100.0
8-302,19.316362,8.870186666666667,25.741000000000003,15.44029,10.7619,100,100.0
8-302,22.732085,8.870186666666667,25.741000000000003,15.44029,10.7619,100,100.0
8-302,22.254721999999997,8.870186666666667,25.741000000000003,21.1699,10.026542,100,100.0
8-302,20.415634999999998,8.870186666666667,25.741000000000003,21.1699,10.026542,100,100.0
8-302,20.415634999999998,9.15264,25.741000000000003,21.1699,10.026542,100,100.0
8-302,20.415634999999998,9.15264,25.741000000000003,21.575666666666667,10.026542,100,100.0
8-302,17.402502000000002,8.446794,28.214025,21.575666666666667,10.033177499999999,100,100.0
8-302,16.372118333333336,8.446794,28.214025,21.575666666666667,10.033177499999999,100,100.0
8-302,16.372118333333336,8.446794,28.214025,21.575666666666667,10.026542,100,100.0
8-302,16.372118333333336,8.446794,25.3963,21.575666666666667,10.026542,100,100.0
8-302,16.372118333333336,8.446794,25.3963,20.627450000000003,10.026542,100,100.0
8-302,17.465885,8.446794,28.59805,20.040866666666666,10.033177499999999,100,100.0
8-302,17.465885,8.09059,28.59805,20.040866666666666,10.033177499999999,100,100.0
8-302,17.465885,8.09059,28.59805,20.040866666666666,10.026542,100,100.0
8-302,20.16695,8.120052,19.386033333333334,20.040866666666666,10.026542,100,100.0
8-302,21.030559999999998,9.44547,21.154600000000002,20.040866666666666,10.0331775,100,100.0
8-302,21.030559999999998,9.44547,21.154600000000002,20.62745,10.0331775,100,100.0
8-302,21.711949999999998,9.44547,21.154600000000002,20.62745,10.0331775,100,100.0
8-302,21.711949999999998,8.972268,21.154600000000002,20.62745,10.0331775,100,100.0
8-302,21.711949999999998,8.972268,21.154600000000002,20.62745,9.809044,100,100.0
8-302,18.0922,7.25311,14.98715,20.8524,9.456254999999999,100,100.0
8-302,18.0922,7.25311,14.98715,19.601525000000002,9.456254999999999,100,100.0
8-302,20.99038333333333,7.25311,14.98715,19.601525000000002,9.456254999999999,100,100.0
8-302,23.817649999999997,6.33748,14.98715,18.672966666666667,9.637503333333333,100,100.0
8-302,23.817649999999997,6.33748,14.98715,18.672966666666667,9.456254999999999,100,100.0
8-302,23.817649999999997,6.33748,15.2744,18.672966666666667,9.456254999999999,100,100.0
8-302,23.817649999999997,6.981237500000001,15.2744,18.672966666666667,9.456254999999999,100,100.0
8-302,24.911416666666668,7.433846666666667,15.8489,19.11805,9.275006666666664,100,100.0
8-302,24.911416666666668,7.561204999999999,15.8489,19.11805,9.275006666666664,100,100.0
8-302,24.911416666666668,7.561204999999999,27.272166666666664,19.11805,9.275006666666664,100,100.0
8-302,24.911416666666668,7.561204999999999,27.272166666666664,19.11805,8.942074999999999,100,100.0
8-302,26.337139999999998,7.978416666666665,27.272166666666664,19.11805,8.942074999999999,100,100.0
8-302,26.337139999999998,7.978416666666665,27.272166666666664,14.234313333333333,8.942074999999999,100,100.0
8-302,26.337139999999998,7.978416666666665,24.416349999999998,14.234313333333333,8.942074999999999,100,100.0
8-302,26.6417,7.978416666666665,24.416349999999998,14.63796,8.942074999999999,100,100.0
8-302,26.337139999999998,7.978416666666665,24.416349999999998,14.63796,8.942074999999999,100,100.0
8-302,26.337139999999998,7.978416666666665,24.416349999999998,14.63796,8.742315999999999,100,100.0
8-302,26.6417,8.427895,22.358159999999998,12.054880000000002,8.6997675,100,100.0
8-302,28.40962,8.427895,22.358159999999998,12.054880000000002,8.6997675,100,100.0
8-302,26.6417,8.427895,22.013460000000002,10.15787,8.6997675,100,100.0
8-302,26.337139999999998,8.427895,22.013460000000002,10.15787,8.6997675,100,100.0
8-302,26.337139999999998,6.558056666666666,22.013460000000002,10.15787,8.6997675,100,100.0
8-302,26.337139999999998,6.558056666666666,22.013460000000002,10.15787,8.959814,100,100.0
8-302,26.337139999999998,6.558056666666666,22.013460000000002,13.422780000000001,8.959814,100,100.0
8-302,22.94442,5.38083,23.5546,13.422780000000001,8.97164,100,100.0
8-302,24.234825,2.81838,14.6999,13.422780000000001,9.48582,100,100.0
8-302,24.234825,2.81838,13.613366666666666,17.900750000000002,9.314426666666668,100,100.0
8-302,23.37838,2.81838,13.613366666666666,17.900750000000002,9.314426666666668,100,100.0
8-302,23.37838,2.81838,13.613366666666666,13.116543333333334,9.314426666666668,100,100.0
8-302,23.37838,2.81838,13.613366666666666,13.116543333333334,9.2139475,100,100.0
8-302,22.943250000000003,2.81838,13.35735,11.750365,9.637503333333333,100,100.0
8-302,18.763900000000003,2.81838,13.101333333333335,10.804413333333335,9.637503333333333,100,100.0
8-302,18.763900000000003,2.81838,13.101333333333335,10.804413333333335,10.7594775,100,100.0
8-302,17.604275,2.81838,13.101333333333335,10.804413333333335,10.7594775,100,100.0
8-302,17.604275,2.81838,22.355674999999998,10.804413333333335,10.7594775,100,100.0
8-302,15.099400000000001,100.0,25.099099999999996,8.34998,11.012636666666666,100,100.0
8-302,15.099400000000001,100.0,25.104049999999997,8.34998,11.012636666666666,100,100.0
8-302,13.82455,100.0,25.104049999999997,8.34998,11.012636666666666,100,100.0
8-302,14.981725,100.0,25.104049999999997,8.34998,11.012636666666666,100,100.0
