label,ble_id,C0,C1,C2,C3
8-302,15070,-3.950660813101795,3.8785503385848004,-0.22378620071856817,-0.07785763499190085
8-302,15070,-3.960175787438924,3.8786287395203387,-0.22273907962577702,-0.07537223728703285
8-302,15070,-3.9507074939128204,3.8613659998147054,-0.23219588068162636,-0.071975782166469
8-302,15070,-3.907853735496738,3.81885478143195,-0.24879845986739615,-0.06207974921500065
8-302,15070,-3.888618492614258,3.814137659035702,-0.21624250606014042,-0.03735226226844674
8-302,15070,-3.9205318267749556,3.8144006166817976,-0.21273044978369096,-0.029016209572206134
8-302,15070,-3.8522289306608637,3.745638419659416,-0.1257422317886873,0.0741504549479762
8-302,15070,-3.788071266226139,3.6286651701287984,-0.18982202262897255,0.09716501689538312
8-302,15070,-3.822723441501811,3.637163037978466,-0.24847137915065312,0.052618596710623265
8-302,15070,-3.828896301372334,3.6484174918977925,-0.24230601180328085,0.050404275676113906
8-302,15070,-3.8069355861912824,3.5974331984835954,-0.26959957928774847,0.06202046096305599
8-302,15070,-3.8088251738358974,3.597896588327568,-0.2727977363606119,0.059591338851000396
8-302,15070,-3.8177253257259225,3.614123483384689,-0.26390838733918953,0.056398686830091714
8-302,15070,-3.8286595408770085,3.614213578498648,-0.2627050790682316,0.05925480312406813
8-302,15070,-3.7935409140697227,3.6056013211931273,-0.20326624592754886,0.10440086087148556
8-302,15070,-3.7709725746950147,3.5597500559772612,-0.17316236758122563,0.15608307642144723
8-302,15070,-3.7393979246777223,3.5594898890011932,-0.17663715173293873,0.1478354910991447
8-302,15070,-3.8186379222990823,3.6219895526962818,-0.17102296686004928,0.12189928989308182
8-302,15070,-3.82793837338761,3.6242703331570714,-0.18676412790878874,0.10994327850847427
8-302,15070,-3.7642421080243094,3.6237454923516363,-0.19377388964126988,0.09330523555287148
8-302,15070,-3.770731904602591,3.635577790195437,-0.18729197027908043,0.09097722335521893
8-302,15070,-3.7247664524657083,3.55400251485157,-0.2432381607070441,0.09820246781100392
8-302,15070,-3.7120972188608414,3.5309037715154314,-0.2558920165894164,0.102747160392855
8-302,15070,-3.6464400045635754,3.484626720374842,-0.30220556308679847,0.08846583147280893
8-302,15070,-3.6528403620955294,3.486196301276026,-0.3130382697717763,0.08023797813653419
8-302,15070,-3.657755062400811,3.4951568591492457,-0.3081295348547567,0.0784749826218841
8-302,15070,-3.6208400397986904,3.4948526888798486,-0.31219202598063556,0.06883244348308212
8-302,15070,-3.575204972089457,3.540616432639542,-0.2168118226053576,0.1005975061243117
8-302,15070,-3.5612076524348675,3.515096302205524,-0.2307921525268634,0.10561860817231347
8-302,15070,-3.562181896886398,3.5151043297286404,-0.23068493711265572,0.10587308967042594
8-302,15070,-3.5774035094728323,3.492185622925657,-0.31893503315647787,0.057639436783043584
8-302,15070,-3.6483679823358375,3.6215691512250485,-0.24805669588815263,0.032183144519905525
8-302,15070,-3.6702471970476864,3.6452429622226927,-0.2341448507556231,0.029873681477566274
8-302,15070,-3.7059663955456434,3.64553727920976,-0.23021395984203843,0.03920386050076415
8-302,15070,-3.762630836030312,3.7488487665390657,-0.17361829779087992,0.018877259037951396
8-302,15070,-3.7974945489727165,3.7491360345457028,-0.16978155289787913,0.027983977465147438
8-302,15070,-3.867613205512919,3.7504214728141965,-0.1375749010226747,0.06450320958206399
8-302,15070,-3.9214495086719268,3.8485766562783903,-0.08380394354723078,0.04519111421529839
8-302,15070,-3.9482852203535423,3.84879777562429,-0.0808506786464275,0.052200845808763795
8-302,15070,-4.077086569231057,4.083630393907308,0.04779433311853585,0.0059973773881348245
8-302,15070,-4.092257772314611,4.083755400709518,0.04946392109522866,0.009960233407285076
