label,8-302-0,8-302-1,8-303-0,8-303-1,8-303-2
8-303,76.06126666666667,25.1189,5.31764,4.520543999999999,8.439226
8-303,76.06126666666667,25.1189,6.306742,4.520543999999999,8.439226
8-303,76.06126666666667,25.1189,6.306742,4.520543999999999,8.439226
8-303,76.06126666666667,25.1189,6.306742,11.766966666666667,8.439226
8-303,100.0,25.1189,7.01147,13.672616,8.97164
8-303,100.0,25.1189,7.01147,13.672616,8.97164
8-303,100.0,25.1189,7.01147,16.53109,8.97164
8-303,100.0,25.1189,7.01147,16.124296,8.97164
8-303,100.0,100.0,19.9526,100.0,100.0
8-303,100.0,100.0,19.9526,100.0,3.54813
8-303,100.0,100.0,19.9526,11.2202,3.54813
8-303,100.0,14.1254,19.9526,11.2202,3.54813
8-303,100.0,14.1254,19.9526,11.2202,6.774065
8-303,89.1251,14.1254,19.9526,11.2202,6.774065
8-303,69.6219,14.1254,19.9526,11.2202,6.774065
8-303,69.6219,14.1254,19.9526,12.6728,6.774065
8-303,69.6219,14.1254,19.9526,12.6728,7.886938000000001
8-303,69.6219,14.1254,21.575666666666667,12.6728,7.886938000000001
8-303,69.6219,14.1254,14.73333,14.1254,8.97164
8-303,69.6219,14.1254,14.73333,14.1254,8.97164
8-303,57.14515,14.1254,14.73333,14.1254,8.97164
8-303,57.14515,28.362666666666666,14.73333,14.1254,8.97164
8-303,57.14515,28.362666666666666,14.73333,14.1254,6.596563999999999
8-303,46.485166666666665,35.4813,11.311166666666667,14.1254,5.745705
8-303,46.485166666666665,35.4813,11.311166666666667,14.1254,5.745705
8-303,44.6684,35.4813,11.311166666666667,10.0,5.745705
8-303,44.6684,35.4813,11.311166666666667,10.0,5.745705
8-303,44.6684,35.4813,13.862456666666667,10.0,5.745705
8-303,44.6684,35.4813,13.862456666666667,10.0,6.4125825
8-303,44.6684,35.4813,12.157508,10.0,5.902349999999999
8-303,56.2341,100.0,13.42702,10.0,7.07946
8-303,56.2341,100.0,22.3872,12.750266666666667,7.07946
8-303,100.0,100.0,100.0,100.0,3.54813
8-303,100.0,100.0,100.0,15.8489,3.54813
8-303,70.7946,100.0,100.0,15.8489,3.54813
8-303,70.7946,100.0,100.0,15.8489,4.92885
8-303,70.7946,100.0,100.0,15.8489,4.92885
8-303,70.7946,100.0,19.9526,15.8489,4.92885
8-303,70.7946,100.0,19.9526,15.8489,4.92885
8-303,70.7946,100.0,19.9526,15.8489,4.825882
8-303,70.7946,100.0,19.9526,15.1595,4.825882
8-303,70.7946,100.0,13.51603,15.1595,4.825882
8-303,70.7946,100.0,13.51603,14.864042857142858,4.825882
8-303,70.7946,100.0,13.51603,14.864042857142858,4.825882
8-303,70.7946,50.1187,13.51603,14.864042857142858,4.825882
8-303,70.7946,50.1187,13.51603,14.864042857142858,5.617733333333334
8-303,65.66199999999999,50.1187,13.51603,14.864042857142858,5.617733333333334
8-303,63.0957,50.1187,13.51603,14.6999,6.031654
8-303,63.0957,50.1187,13.51603,14.1254,5.392778
8-303,63.0957,50.1187,13.51603,13.35735,5.392778
8-303,63.0957,50.1187,7.07946,13.101333333333335,5.745705
8-303,80.44863333333333,50.1187,7.07946,13.101333333333335,5.745705
8-303,80.44863333333333,50.1187,5.337713333333333,13.101333333333335,5.745705
8-303,89.1251,100.0,4.46684,12.5893,3.54813
8-303,100.0,100.0,4.46684,12.5893,3.54813
8-303,100.0,14.1254,4.46684,12.5893,3.54813
8-303,100.0,14.1254,4.46684,13.613366666666666,3.54813
8-303,100.0,14.1254,4.46684,13.613366666666666,3.54813
8-303,100.0,14.1254,4.46684,13.613366666666666,6.47823
8-303,100.0,14.1254,4.46684,13.613366666666666,6.47823
8-303,100.0,14.1254,4.46684,14.1254,7.511369999999999
8-303,100.0,14.1254,4.46684,14.1254,7.511369999999999
8-303,100.0,14.1254,4.46684,14.1254,7.511369999999999
8-303,100.0,100.0,22.3872,100.0,100.0
8-303,100.0,100.0,22.3872,100.0,100.0
8-303,100.0,100.0,22.3872,100.0,3.98107
8-303,100.0,17.7828,22.3872,100.0,3.98107
8-303,50.1187,17.7828,22.3872,100.0,3.98107
8-303,50.1187,17.7828,22.3872,100.0,5.962175
8-303,50.1187,17.7828,22.3872,100.0,5.962175
8-303,50.1187,17.7828,22.3872,100.0,5.962175
8-303,50.1187,17.7828,22.3872,100.0,6.80531
8-303,50.1187,17.7828,22.3872,14.1254,6.80531
8-303,50.1187,17.7828,20.764133333333334,14.1254,6.80531
8-303,50.1187,100.0,19.9526,14.1254,5.839692
